GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CryptoCurrency_Project,com.cryptocurrency.data.model,CryptoPriceHistory,6,27,0,0,2,10,2,5,2,5
CryptoCurrency_Project,com.cryptocurrency.data.model,CryptoCurrency,3,138,0,0,1,56,1,26,1,26
CryptoCurrency_Project,com.cryptocurrency.data.model,User,12,56,0,0,1,23,1,12,1,12
CryptoCurrency_Project,com.cryptocurrency.data.model,Alerts,7,56,0,0,3,23,2,12,2,12
CryptoCurrency_Project,com.cryptocurrency.data.config,CookieConfig,0,18,0,0,0,6,0,2,0,2
CryptoCurrency_Project,com.cryptocurrency.data.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
CryptoCurrency_Project,com.cryptocurrency.data.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
CryptoCurrency_Project,com.cryptocurrency.data.config,CorsConfig.new WebMvcConfigurer() {...},0,46,0,0,0,7,0,2,0,2
CryptoCurrency_Project,com.cryptocurrency.data,CryptoCurrencyProjectApplication,8,3,0,0,3,1,1,1,1,1
CryptoCurrency_Project,com.cryptocurrency.data.security,EncodedToken,12,0,0,0,3,0,3,0,3,0
CryptoCurrency_Project,com.cryptocurrency.data.security,EncodedPassword,17,0,0,0,4,0,4,0,4,0
CryptoCurrency_Project,com.cryptocurrency.data.security,ConfigurationApplicationSecurity,0,157,0,0,0,24,0,5,0,5
CryptoCurrency_Project,com.cryptocurrency.data.controller,AlertsController,87,3,10,0,21,1,9,1,4,1
CryptoCurrency_Project,com.cryptocurrency.data.controller,PredictionController,38,6,4,0,10,2,5,2,3,2
CryptoCurrency_Project,com.cryptocurrency.data.controller,UserController,343,3,20,0,79,1,21,1,11,1
CryptoCurrency_Project,com.cryptocurrency.data.controller,CryptoCurrencyController,101,22,14,0,25,6,10,3,3,3
CryptoCurrency_Project,com.cryptocurrency.data.scheduler,AlertChecker,0,13,0,0,0,6,0,3,0,3
CryptoCurrency_Project,com.cryptocurrency.data.service,LoginRequestService,0,26,0,0,0,11,0,6,0,6
CryptoCurrency_Project,com.cryptocurrency.data.service,AlertsService,255,48,32,0,54,12,23,9,7,9
CryptoCurrency_Project,com.cryptocurrency.data.service,DataCollectionService.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
CryptoCurrency_Project,com.cryptocurrency.data.service,VerifyPasswordMatchesService,26,3,4,0,6,1,3,1,1,1
CryptoCurrency_Project,com.cryptocurrency.data.service,EmailService,18,44,0,0,6,13,1,3,1,3
CryptoCurrency_Project,com.cryptocurrency.data.service,UserService,347,63,18,0,85,15,27,10,18,10
CryptoCurrency_Project,com.cryptocurrency.data.service,DataCollectionService,93,347,8,10,26,95,9,10,2,8
CryptoCurrency_Project,com.cryptocurrency.data.service,PredictionService,140,3,8,0,23,1,7,1,3,1
CryptoCurrency_Project,com.cryptocurrency.data.service,TokenRequestService,3,23,0,0,1,10,1,5,1,5
CryptoCurrency_Project,com.cryptocurrency.data.service,CryptoCurrencyService,15,44,0,0,0,10,3,7,3,7
CryptoCurrency_Project,com.cryptocurrency.data.utils,GenerateToken,6,0,0,0,2,0,2,0,2,0
